name,type,resource,action
Users Read,API,/api/users,read
Users Write,API,/api/users,write
Users Update,API,/api/users,update
Users Delete,API,/api/users,delete
User Details Read,API,/api/users/details,read
User Details Write,API,/api/users/details,write
Roles Read,API,/api/roles,read
Roles Write,API,/api/roles,write
Roles Update,API,/api/roles,update
Roles Delete,API,/api/roles,delete
Permissions Read,API,/api/permissions,read
Permissions Write,API,/api/permissions,write
Permissions Update,API,/api/permissions,update
Permissions Delete,API,/api/permissions,delete
Kitchens Read,API,/api/kitchens,read
Kitchens Write,API,/api/kitchens,write
Kitchens Update,API,/api/kitchens,update
Kitchens Delete,API,/api/kitchens,delete
Drivers Read,API,/api/drivers,read
Drivers Write,API,/api/drivers,write
Drivers Update,API,/api/drivers,update
Drivers Delete,API,/api/drivers,delete
Schools Read,API,/api/schools,read
Schools Write,API,/api/schools,write
Schools Update,API,/api/schools,update
Schools Delete,API,/api/schools,delete
Menus Read,API,/api/menus,read
Menus Write,API,/api/menus,write
Menus Update,API,/api/menus,update
Menus Delete,API,/api/menus,delete
Food Items Read,API,/api/food-items,read
Food Items Write,API,/api/food-items,write
Food Items Update,API,/api/food-items,update
Food Items Delete,API,/api/food-items,delete
Suppliers Read,API,/api/suppliers,read
Suppliers Write,API,/api/suppliers,write
Suppliers Update,API,/api/suppliers,update
Suppliers Delete,API,/api/suppliers,delete
Menu Plans Read,API,/api/menu-plans,read
Menu Plans Write,API,/api/menu-plans,write
Menu Plans Update,API,/api/menu-plans,update
Menu Plans Delete,API,/api/menu-plans,delete
Deliveries Read,API,/api/deliveries,read
Deliveries Write,API,/api/deliveries,write
Deliveries Update,API,/api/deliveries,update
Deliveries Delete,API,/api/deliveries,delete
Delivery Schools Read,API,/api/delivery-schools,read
Delivery Schools Write,API,/api/delivery-schools,write
Delivery Schools Update,API,/api/delivery-schools,update
Delivery Schools Delete,API,/api/delivery-schools,delete
Menu Read,API,/api/menus,read
Menu Write,API,/api/menus,write
Menu Update,API,/api/menus,update
Menu Delete,API,/api/menus,delete
